Item_id,Category,Item_Name,Price
1,variety rice & extras,veg fried rice set,7
2,variety rice & extras,south Indian set meal,2
3,variety rice & extras,north Indian set meal,10
4,variety rice & extras,briyani set meal,10
5,variety rice & extras,sweet Pongal,9
6,variety rice & extras,veg pulav,10
7,variety rice & extras,curd rice,2
8,variety rice & extras,jain set meal,8
9,variety rice & extras,lemon rice,3
10,variety rice & extras,sambar rice,3
11,variety rice & extras,tamarind rice,6
12,variety rice & extras,vegetable,5
13,variety rice & extras,mini south Indian meal,6
14,variety rice & extras,veg briyani rice only,4
15,variety rice & extras,Pongal,5
16,variety rice & extras,white rice,4
17,variety rice & extras,sambar,1
18,variety rice & extras,pulikulambu,1
19,variety rice & extras,rasam,10
20,variety rice & extras,curd,2
21,variety rice & extras,payasam of the day,5
22,variety rice & extras,S.I appalam,4
23,variety rice & extras,kurma curry,9
24,variety rice & extras,raitha,6
25,variety rice & extras,kootu,2
26,variety rice & extras,poriyal,7
27,variety rice & extras,veg chicken rice,5
28,thosai,pizza thosai,6
29,thosai,cheese thosai,7
30,thosai,mysore masala,6
31,thosai,paper masala,9
32,thosai,onion masala,8
33,thosai,onion uthappam,1
34,thosai,rava mysore masala,5
35,thosai,ghee onion rava,6
36,thosai,onion rava,5
37,thosai,plain thosai,3
38,thosai,masala thosai,7
39,thosai,paper thosai,3
40,thosai,onion thosai,2
41,thosai,ghee paper,6
42,thosai,ghee masala thosai,8
43,thosai,ghee onion masala,6
44,thosai,rava thosai,7
45,thosai,rava onion masala,7
46,thosai,ghee rava onion masala,1
47,thosai,ghee thosai,8
48,thosai,rava masala,10
49,thosai,uthappam,2
50,thosai,tomato uthappam,3
51,thosai,mint thosai,7
52,thosai,cheese tomato thosai,5
53,thosai,rava ghee,4
54,thosai,appam jalah,8
55,thosai,podi thosai,1
56,thosai,podi thosai ghee,5
57,thosai,ghee rava masala,2
58,thosai,set thosai vadai curry,3
59,thosai,curry masala,5
60,thosai,black pepper masala thosai,8
61,thosai,panner thosai,10
62,thosai,veg uthappam,8
63,thosai,tomato onion uthappam,2
64,thosai,paruppu adai,4
65,thosai,mint masala thosai,4
66,thosai,truffle masala thosai,3
67,thosai,butter thosai,9
68,thosai,cheese masala thosai,7
69,thosai,rava cheese thosai,5
70,Indian bread,chapathi ,2
71,Indian bread,bathura,1
72,Indian bread,prata,7
73,Indian bread,murtaba,9
74,Indian bread,puri ,3
75,Indian bread,chapathi roll,6
76,Indian bread,kothu prata,10
77,Indian bread,aloo prata set,3
78,Indian bread,chilli prata,7
79,Indian bread,cheese prata,10
80,Indian bread,keema prata,4
81,Indian bread,onion prata,3
82,Indian bread,aloo prata - no curry,10
83,South Indian snacks,curry puf,10
84,South Indian snacks,ragi idiyappam ,5
85,South Indian snacks,idly,6
86,South Indian snacks,sambar idly,7
87,South Indian snacks,uppuma,9
88,South Indian snacks,appam(2pcs),10
89,South Indian snacks,curd vadai,10
90,South Indian snacks,idiyappam,6
91,South Indian snacks,sulian,7
92,South Indian snacks,sambar vadai,5
93,South Indian snacks,podi idly,4
94,South Indian snacks,masala vadai set(2 pc ),9
95,South Indian snacks,rasam idly,5
96,South Indian snacks,rasam vadai,1
97,South Indian snacks,banana baji(3 pcs),7
98,South Indian snacks,chilli baji(3pcs),5
99,South Indian snacks,onion pakoda,6
100,South Indian snacks,onion bonda(6 pcs),9
101,South Indian snacks,potato bonda,9
102,north indian /tandoori,sheek kebab,4
103,north indian /tandoori,kashmiri naan set,3
104,north indian /tandoori,cheese naan set,9
105,north indian /tandoori,garlic naan set,4
106,north indian /tandoori,plain naan set,6
107,north indian /tandoori,tandoori roti set,8
108,north indian /tandoori,tawa chapathi set,9
109,north indian /tandoori,butter naan set,5
110,north indian /tandoori,tandoori prata set,4
111,north indian /tandoori,dal makhni,4
112,north indian /tandoori,dal fry,5
113,north indian /tandoori,paneer tikka,7
114,north indian /tandoori,abr kebab,7
115,north indian /tandoori,palak paneer,10
116,north indian /tandoori,mutter panner,6
117,north indian /tandoori,plain naan no curry,8
118,north indian /tandoori,paneer butter masala,8
119,north indian /tandoori,gobi manchurian,7
120,north indian /tandoori,butter naan no curry,10
121,north indian /tandoori,aloo capsicum,9
122,north indian /tandoori,romali roti set,6
123,north indian /tandoori,garlic naan no curry,8
124,north indian /tandoori,kashmiri naan  no curry,10
125,north indian /tandoori,masala kulcha  no curry,2
126,north indian /tandoori,peshawari naan set,3
127,north indian /tandoori,peshawari roti set,9
128,north indian /tandoori,kadai paneer,1
129,north indian /tandoori,gobi 65,10
130,north indian /tandoori,romali roti no curry,1
131,north indian /tandoori,cheese naan ,6
132,north indian /tandoori,randoori roti no curry,2
133,north indian /tandoori,idly manchurian,3
134,north indian /tandoori,chilly mushroom,7
135,north indian /tandoori,mixed vegetable(semi gravy),9
136,north indian /tandoori,aloo gobi,7
137,north indian /tandoori,mushroom masala,7
138,north indian /tandoori,aloo mattar,10
139,north indian /tandoori,channa masala,1
140,chaat,pani puri,5
141,chaat,sev puri,8
142,chaat,dahi puri,1
143,chaat,bhel puri,6
144,chaat,pav bhaji,3
145,chaat,vada pav,10
146,chaat,cheese pav bhaji,3
147,chaat,bread channa bhaji,10
148,chaat,bread channa chaat,3
149,chaat,cutlet dahi chaat,3
150,chaat,cutlet channa chaat,6
151,chaat,papadi dahi chaat,1
152,chaat,samosa dahi chaat,4
153,chaat,samosa channa chaat,4
154,chaat,aloo channa tikki,8
155,chaat,szechwan finger,4
156,chaat,dahi kachori(2 pcs),5
157,chaat,veg cutlet(2 pc),2
158,chaat,plain pav,8
159,chaat,onion rings(9 pcs),10
160,chaat,aloo channa chaat,10
161,chaat,samosa chaat,9
162,chaat,masala puri,2
163,chaat,papadi chaat,9
164,chaat,aloo chaat,1
